20180327 123134.109|main|INFO |xiyj.ths.App2  |run01     #31| xxx
20180327 123134.109|main|INFO |xiyj.ths.App2  |run01     #32| xxx
20180327 123134.109|main|INFO |xiyj.ths.App2  |run01     #33| xxx
20180327 123134.109|main|INFO |xiyj.ths.App2  |run01     #34| xxx
20180327 123134.109|main|INFO |xiyj.ths.App2  |run01     #35| xxx
20180327 123134.109|main|INFO |xiyj.ths.App2  |run01     #36| xxx
20180327 123134.109|main|INFO |xiyj.ths.App2  |run01     #37| xxx
20180327 123134.110|main|INFO |xiyj.ths.App2  |run01     #39| db worker exit
20180327 123337.955|main|INFO |xiyj.ths.App2  |run01     #15| Entering....
20180327 123337.959|main|INFO |xiyj.ths.App2  |run01     #17| start long run dbWorker backend thread for DB/table connection/query/update
20180327 123337.960|main|INFO |xiyj.ths.App2  |run01     #20| wait for dbWorker thread populate ordered oneMinues list
20180327 123337.960|main|INFO |xiyj.ths.App2  |run01     #24| sleep wait and loop until hit one point in tradingMinutes
20180327 123337.960|main|INFO |xiyj.ths.App2  |run01     #27| index 0, date : Tue Mar 27 12:33:37 MDT 2018
20180327 123337.960|main|INFO |xiyj.ths.App2  |run01     #27| index 1, date : Tue Mar 27 12:34:37 MDT 2018
20180327 123337.961|main|INFO |xiyj.ths.App2  |run01     #27| index 2, date : Tue Mar 27 12:35:37 MDT 2018
20180327 123337.961|main|INFO |xiyj.ths.App2  |run01     #27| index 3, date : Tue Mar 27 12:36:37 MDT 2018
20180327 123337.961|main|INFO |xiyj.ths.App2  |run01     #27| index 4, date : Tue Mar 27 12:37:37 MDT 2018
20180327 123337.961|main|INFO |xiyj.ths.App2  |run01     #27| index 5, date : Tue Mar 27 12:38:37 MDT 2018
20180327 123337.961|main|INFO |xiyj.ths.App2  |run01     #27| index 6, date : Tue Mar 27 12:39:37 MDT 2018
20180327 123337.961|main|INFO |xiyj.ths.App2  |run01     #27| index 7, date : Tue Mar 27 12:40:37 MDT 2018
20180327 123337.962|main|INFO |xiyj.ths.App2  |run01     #27| index 8, date : Tue Mar 27 12:41:37 MDT 2018
20180327 123337.962|main|INFO |xiyj.ths.App2  |run01     #27| index 9, date : Tue Mar 27 12:42:37 MDT 2018
20180327 123337.962|main|INFO |xiyj.ths.App2  |run01     #29| xxx
20180327 123337.962|main|INFO |xiyj.ths.App2  |run01     #30| xxx
20180327 123337.962|main|INFO |xiyj.ths.App2  |run01     #31| xxx
20180327 123337.962|main|INFO |xiyj.ths.App2  |run01     #32| xxx
20180327 123337.962|main|INFO |xiyj.ths.App2  |run01     #33| xxx
20180327 123337.963|main|INFO |xiyj.ths.App2  |run01     #34| xxx
20180327 123337.963|main|INFO |xiyj.ths.App2  |run01     #35| xxx
20180327 123337.963|main|INFO |xiyj.ths.App2  |run01     #36| xxx
20180327 123337.963|main|INFO |xiyj.ths.App2  |run01     #37| xxx
20180327 123337.963|main|INFO |xiyj.ths.App2  |run01     #39| db worker exit
20180327 123459.474|main|INFO |xiyj.ths.App2  |run01     #15| Entering....
20180327 123459.477|main|INFO |xiyj.ths.App2  |run01     #17| start long run dbWorker backend thread for DB/table connection/query/update
20180327 123459.478|main|INFO |xiyj.ths.App2  |run01     #20| wait for dbWorker thread populate ordered oneMinues list
20180327 123459.478|main|INFO |xiyj.ths.App2  |run01     #24| sleep wait and loop until hit one point in tradingMinutes
20180327 123459.478|main|INFO |xiyj.ths.App2  |run01     #27| index 0, date : Tue Mar 27 12:34:59 MDT 2018
20180327 123459.478|main|INFO |xiyj.ths.App2  |run01     #27| index 1, date : Wed Feb 11 00:19:00 MST 1970
20180327 123459.478|main|INFO |xiyj.ths.App2  |run01     #27| index 2, date : Wed Feb 11 00:20:00 MST 1970
20180327 123459.479|main|INFO |xiyj.ths.App2  |run01     #27| index 3, date : Wed Feb 11 00:21:00 MST 1970
20180327 123459.479|main|INFO |xiyj.ths.App2  |run01     #27| index 4, date : Wed Feb 11 00:22:00 MST 1970
20180327 123459.479|main|INFO |xiyj.ths.App2  |run01     #27| index 5, date : Wed Feb 11 00:23:00 MST 1970
20180327 123459.479|main|INFO |xiyj.ths.App2  |run01     #27| index 6, date : Wed Feb 11 00:24:00 MST 1970
20180327 123459.479|main|INFO |xiyj.ths.App2  |run01     #27| index 7, date : Wed Feb 11 00:25:00 MST 1970
20180327 123459.479|main|INFO |xiyj.ths.App2  |run01     #27| index 8, date : Wed Feb 11 00:26:00 MST 1970
20180327 123459.480|main|INFO |xiyj.ths.App2  |run01     #27| index 9, date : Wed Feb 11 00:27:00 MST 1970
20180327 123459.480|main|INFO |xiyj.ths.App2  |run01     #29| xxx
20180327 123459.480|main|INFO |xiyj.ths.App2  |run01     #30| xxx
20180327 123459.480|main|INFO |xiyj.ths.App2  |run01     #31| xxx
20180327 123459.481|main|INFO |xiyj.ths.App2  |run01     #32| xxx
20180327 123459.481|main|INFO |xiyj.ths.App2  |run01     #33| xxx
20180327 123459.481|main|INFO |xiyj.ths.App2  |run01     #34| xxx
20180327 123459.481|main|INFO |xiyj.ths.App2  |run01     #35| xxx
20180327 123459.481|main|INFO |xiyj.ths.App2  |run01     #36| xxx
20180327 123459.481|main|INFO |xiyj.ths.App2  |run01     #37| xxx
20180327 123459.481|main|INFO |xiyj.ths.App2  |run01     #39| db worker exit
20180327 123542.424|main|INFO |xiyj.ths.App2  |run01     #15| Entering....
20180327 123542.427|main|INFO |xiyj.ths.App2  |run01     #17| start long run dbWorker backend thread for DB/table connection/query/update
20180327 123542.428|main|INFO |xiyj.ths.App2  |run01     #20| wait for dbWorker thread populate ordered oneMinues list
20180327 123542.428|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 2545680000
20180327 123542.428|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 2545740000
20180327 123542.429|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 2545800000
20180327 123542.429|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 2545860000
20180327 123542.429|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 2545920000
20180327 123542.429|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 2545980000
20180327 123542.429|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 2546040000
20180327 123542.430|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 2546100000
20180327 123542.430|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 2546160000
20180327 123542.430|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 2546220000
20180327 123542.430|main|INFO |xiyj.ths.App2  |run01     #24| sleep wait and loop until hit one point in tradingMinutes
20180327 123542.431|main|INFO |xiyj.ths.App2  |run01     #27| index 0, date : Fri Jan 30 04:08:00 MST 1970
20180327 123542.431|main|INFO |xiyj.ths.App2  |run01     #27| index 1, date : Fri Jan 30 04:09:00 MST 1970
20180327 123542.431|main|INFO |xiyj.ths.App2  |run01     #27| index 2, date : Fri Jan 30 04:10:00 MST 1970
20180327 123542.431|main|INFO |xiyj.ths.App2  |run01     #27| index 3, date : Fri Jan 30 04:11:00 MST 1970
20180327 123542.431|main|INFO |xiyj.ths.App2  |run01     #27| index 4, date : Fri Jan 30 04:12:00 MST 1970
20180327 123542.432|main|INFO |xiyj.ths.App2  |run01     #27| index 5, date : Fri Jan 30 04:13:00 MST 1970
20180327 123542.432|main|INFO |xiyj.ths.App2  |run01     #27| index 6, date : Fri Jan 30 04:14:00 MST 1970
20180327 123542.432|main|INFO |xiyj.ths.App2  |run01     #27| index 7, date : Fri Jan 30 04:15:00 MST 1970
20180327 123542.432|main|INFO |xiyj.ths.App2  |run01     #27| index 8, date : Fri Jan 30 04:16:00 MST 1970
20180327 123542.432|main|INFO |xiyj.ths.App2  |run01     #27| index 9, date : Fri Jan 30 04:17:00 MST 1970
20180327 123542.432|main|INFO |xiyj.ths.App2  |run01     #29| xxx
20180327 123542.432|main|INFO |xiyj.ths.App2  |run01     #30| xxx
20180327 123542.433|main|INFO |xiyj.ths.App2  |run01     #31| xxx
20180327 123542.433|main|INFO |xiyj.ths.App2  |run01     #32| xxx
20180327 123542.433|main|INFO |xiyj.ths.App2  |run01     #33| xxx
20180327 123542.433|main|INFO |xiyj.ths.App2  |run01     #34| xxx
20180327 123542.433|main|INFO |xiyj.ths.App2  |run01     #35| xxx
20180327 123542.434|main|INFO |xiyj.ths.App2  |run01     #36| xxx
20180327 123542.434|main|INFO |xiyj.ths.App2  |run01     #37| xxx
20180327 123542.434|main|INFO |xiyj.ths.App2  |run01     #39| db worker exit
20180327 123735.128|main|INFO |xiyj.ths.App2  |run01     #15| Entering....
20180327 123735.130|main|INFO |xiyj.ths.App2  |run01     #17| start long run dbWorker backend thread for DB/table connection/query/update
20180327 123735.131|main|INFO |xiyj.ths.App2  |run01     #20| wait for dbWorker thread populate ordered oneMinues list
20180327 123818.909|main|INFO |xiyj.ths.App2  |run01     #15| Entering....
20180327 123818.912|main|INFO |xiyj.ths.App2  |run01     #17| start long run dbWorker backend thread for DB/table connection/query/update
20180327 123818.913|main|INFO |xiyj.ths.App2  |run01     #20| wait for dbWorker thread populate ordered oneMinues list
20180327 123833.448|main|INFO |xiyj.ths.App2  |run01     #15| Entering....
20180327 123833.454|main|INFO |xiyj.ths.App2  |run01     #17| start long run dbWorker backend thread for DB/table connection/query/update
20180327 123833.455|main|INFO |xiyj.ths.App2  |run01     #20| wait for dbWorker thread populate ordered oneMinues list
20180327 123959.812|main|INFO |xiyj.ths.App2  |run01     #15| Entering....
20180327 123959.815|main|INFO |xiyj.ths.App2  |run01     #17| start long run dbWorker backend thread for DB/table connection/query/update
20180327 123959.816|main|INFO |xiyj.ths.App2  |run01     #20| wait for dbWorker thread populate ordered oneMinues list
20180327 123959.817|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 3588960000
20180327 123959.818|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 3589020000
20180327 123959.818|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 3589080000
20180327 123959.818|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 3589140000
20180327 123959.819|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 3589200000
20180327 123959.819|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 3589260000
20180327 123959.819|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 3589320000
20180327 123959.819|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 3589380000
20180327 123959.819|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 3589440000
20180327 123959.820|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 3589500000
20180327 123959.820|main|INFO |xiyj.ths.App2  |run01     #24| sleep wait and loop until hit one point in tradingMinutes
20180327 123959.820|main|INFO |xiyj.ths.App2  |run01     #27| index 0, date : Wed Feb 11 05:56:00 MST 1970
20180327 123959.821|main|INFO |xiyj.ths.App2  |run01     #27| index 1, date : Wed Feb 11 05:57:00 MST 1970
20180327 123959.821|main|INFO |xiyj.ths.App2  |run01     #27| index 2, date : Wed Feb 11 05:58:00 MST 1970
20180327 123959.821|main|INFO |xiyj.ths.App2  |run01     #27| index 3, date : Wed Feb 11 05:59:00 MST 1970
20180327 123959.821|main|INFO |xiyj.ths.App2  |run01     #27| index 4, date : Wed Feb 11 06:00:00 MST 1970
20180327 123959.821|main|INFO |xiyj.ths.App2  |run01     #27| index 5, date : Wed Feb 11 06:01:00 MST 1970
20180327 123959.822|main|INFO |xiyj.ths.App2  |run01     #27| index 6, date : Wed Feb 11 06:02:00 MST 1970
20180327 123959.822|main|INFO |xiyj.ths.App2  |run01     #27| index 7, date : Wed Feb 11 06:03:00 MST 1970
20180327 123959.822|main|INFO |xiyj.ths.App2  |run01     #27| index 8, date : Wed Feb 11 06:04:00 MST 1970
20180327 123959.822|main|INFO |xiyj.ths.App2  |run01     #27| index 9, date : Wed Feb 11 06:05:00 MST 1970
20180327 123959.822|main|INFO |xiyj.ths.App2  |run01     #29| xxx
20180327 123959.822|main|INFO |xiyj.ths.App2  |run01     #30| xxx
20180327 123959.823|main|INFO |xiyj.ths.App2  |run01     #31| xxx
20180327 123959.823|main|INFO |xiyj.ths.App2  |run01     #32| xxx
20180327 123959.823|main|INFO |xiyj.ths.App2  |run01     #33| xxx
20180327 123959.823|main|INFO |xiyj.ths.App2  |run01     #34| xxx
20180327 123959.823|main|INFO |xiyj.ths.App2  |run01     #35| xxx
20180327 123959.823|main|INFO |xiyj.ths.App2  |run01     #36| xxx
20180327 123959.823|main|INFO |xiyj.ths.App2  |run01     #37| xxx
20180327 123959.823|main|INFO |xiyj.ths.App2  |run01     #39| db worker exit
20180327 124040.013|main|INFO |xiyj.ths.App2  |run01     #15| Entering....
20180327 124040.016|main|INFO |xiyj.ths.App2  |run01     #17| start long run dbWorker backend thread for DB/table connection/query/update
20180327 124040.017|main|INFO |xiyj.ths.App2  |run01     #20| wait for dbWorker thread populate ordered oneMinues list
20180327 124040.017|main|INFO |x.ths.DbWorker |getTradingMinutes#22| base : 1522176040017
20180327 124040.017|main|INFO |x.ths.DbWorker |getTradingMinutes#24| base after mod: 2401020000
20180327 124040.019|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 2401020000
20180327 124040.019|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 2401080000
20180327 124040.019|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 2401140000
20180327 124040.019|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 2401200000
20180327 124040.020|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 2401260000
20180327 124040.020|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 2401320000
20180327 124040.020|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 2401380000
20180327 124040.020|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 2401440000
20180327 124040.020|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 2401500000
20180327 124040.021|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 2401560000
20180327 124040.021|main|INFO |xiyj.ths.App2  |run01     #24| sleep wait and loop until hit one point in tradingMinutes
